latitude,longitude,offense,time,day,month,year,magnitude
40.707878545,-74.0132783669999,GRAND LARCENY,09:00,11,21,2001,3
40.773738875,-73.738297873,GRAND LARCENY,13:00,11,21,2001,3
40.773639029,-73.979699942,GRAND LARCENY,09:00,01,10,2002,3
40.698576137,-73.911399992,GRAND LARCENY,12:01,02,22,2002,3
40.8411350710001,-73.914824242,GRAND LARCENY,12:01,02,22,2002,3
40.7212654310001,-73.9956109939999,GRAND LARCENY,10:00,02,22,2002,3
40.7092560580001,-73.953579953,GRAND LARCENY,00:00,04,20,2002,3
40.657739603,-73.868597031,GRAND LARCENY,14:30,04,20,2002,3
40.7259781990001,-73.7536348909999,GRAND LARCENY,00:00,05,06,2002,3
40.8654281460001,-73.867864886,ROBBERY,03:32,06,27,2002,3
40.706978808,-74.007121329,GRAND LARCENY,00:00,07,21,2002,3
40.6029515910001,-73.749976261,RAPE,00:00,07,25,2002,3
40.7276065140001,-73.97781979,GRAND LARCENY,09:00,07,30,2002,3
40.887451313,-73.847607787,RAPE,00:00,07,30,2002,3
40.6688547050001,-73.8674937019999,GRAND LARCENY,15:00,09,27,2002,3
40.767070824,-73.828197411,GRAND LARCENY,12:01,10,13,2002,3
40.7529090680001,-73.827133091,GRAND LARCENY,12:01,10,15,2002,3
40.688872153,-73.9445290319999,RAPE,07:00,10,15,2002,3
40.6231985480001,-73.946197442,GRAND LARCENY,11:00,10,15,2002,3
40.7568749110001,-73.970544057,RAPE,12:01,11,25,2002,3
40.7693060870001,-73.91550818,GRAND LARCENY,00:00,01,10,2003,3
40.7094363950001,-73.951595997,GRAND LARCENY,09:00,02,11,2003,3
40.684877773,-73.973171916,BURGLARY,12:30,03,17,2003,3
40.8163661450001,-73.867626311,FELONY ASSAULT,13:30,03,19,2003,3
40.826104646,-73.819271913,FELONY ASSAULT,16:30,03,23,2003,3
40.8346233600001,-73.920766358,ROBBERY,18:30,03,23,2003,3
40.7450253480001,-73.9040879579999,GRAND LARCENY,00:00,04,20,2003,3
40.7651501610001,-73.8757025579999,GRAND LARCENY,09:00,05,06,2003,3
40.6578837220001,-73.913540855,GRAND LARCENY,11:30,05,06,2003,3
40.64085528,-73.958207273,GRAND LARCENY,15:00,09,07,2003,3
40.741335006,-73.993949675,GRAND LARCENY,21:30,10,13,2003,3
40.825050768,-73.865535037,GRAND LARCENY,12:01,10,15,2003,3
40.806493351,-73.9672566519999,GRAND LARCENY,09:00,10,15,2003,3
40.676191208,-73.944341295,GRAND LARCENY,12:00,11,19,2003,3
40.645101937,-74.0193593669999,GRAND LARCENY,08:00,11,21,2003,3
40.7555393910001,-73.9206943899999,GRAND LARCENY,12:01,12,09,2003,3
40.714542529,-74.0156712949999,GRAND LARCENY,00:00,01,09,2004,3
